,Age,Attrition,DailyRate,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree
48,46,0,1211,98,5772,20445,4,1,21,4,0,14,4,3,9,6,0,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
49,35,0,1229,36,2269,4892,1,0,19,3,0,1,2,3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
50,48,1,626,98,5381,19294,9,1,13,3,0,23,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
51,28,1,1434,50,3441,11179,1,1,13,3,0,2,3,2,2,2,2,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
52,44,0,1488,75,5454,4009,5,1,21,4,1,9,2,2,4,3,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
53,35,0,1097,79,9884,8302,2,1,13,3,1,10,3,3,4,0,2,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,26,0,1443,47,4157,21436,7,1,19,3,1,5,2,2,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
55,33,0,515,98,13458,15146,1,1,12,3,0,15,1,3,15,14,8,12,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
56,35,0,853,71,9069,11031,1,0,22,4,1,9,3,2,9,8,1,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
57,35,0,1142,30,4014,16002,3,1,15,3,1,4,3,3,2,2,2,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
58,31,0,655,48,5915,9528,3,0,22,4,1,10,3,2,7,7,1,7,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
59,37,0,1115,51,5993,2689,1,0,18,3,1,7,2,4,7,5,0,7,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
60,32,0,427,33,6162,10877,1,1,22,4,1,9,3,3,9,8,7,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
61,38,0,653,50,2406,5456,1,0,11,3,0,10,2,3,10,3,9,9,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
62,50,0,989,43,18740,16701,5,1,12,3,1,29,2,2,27,3,13,8,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
63,59,0,1435,99,7637,2354,7,0,11,3,0,28,3,2,21,16,7,9,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
64,36,0,1223,59,10096,8202,1,0,13,3,3,17,2,3,17,14,12,8,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,55,0,836,33,14756,19730,2,1,14,3,3,21,2,3,5,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
66,36,0,1195,95,6499,22656,1,0,13,3,0,6,3,3,6,5,0,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
67,45,0,1339,59,9724,18787,2,0,17,3,1,25,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
68,35,0,664,79,2194,5868,4,0,13,3,1,5,2,2,3,2,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
69,36,1,318,79,3388,21777,0,1,17,3,1,2,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
70,59,0,1225,57,5473,24668,7,0,11,3,0,20,2,2,4,3,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
71,29,0,1328,76,2703,4956,0,0,23,4,1,6,3,3,5,4,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72,31,0,1082,87,2501,18775,1,0,17,3,0,1,4,3,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
73,32,0,548,66,6220,7346,1,0,17,3,2,10,3,3,10,4,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
74,36,0,132,55,3038,22002,3,0,12,3,0,5,3,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
75,31,0,746,61,4424,20682,1,0,23,4,0,11,2,3,11,7,1,8,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
76,35,0,776,32,4312,23016,0,0,14,3,0,16,2,3,15,13,2,8,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
77,45,0,193,52,13245,15067,4,1,14,3,0,17,3,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
78,37,0,397,30,13664,25258,4,0,13,3,0,16,3,4,5,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
79,46,0,945,80,5021,10425,8,1,22,4,1,16,2,3,4,2,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
80,30,0,852,55,5126,15998,1,1,12,3,2,10,1,2,10,8,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
81,35,0,1214,30,2859,26278,1,0,18,3,0,6,3,3,6,4,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
82,55,0,111,70,10239,18092,3,0,14,3,1,24,4,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
83,38,0,573,79,5329,15717,7,1,12,3,3,17,3,3,13,11,1,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
84,34,0,1153,94,4325,17736,1,0,15,3,0,5,2,3,5,2,1,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
85,56,0,1400,49,7260,21698,4,0,11,3,0,37,3,2,6,4,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
86,23,0,541,62,2322,9518,3,0,13,3,1,3,3,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
87,51,0,432,96,2075,18725,3,0,23,4,2,10,4,3,4,2,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
88,30,0,288,99,4152,15830,1,0,19,3,3,11,3,3,11,10,10,8,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,46,1,669,64,9619,13596,1,0,16,3,0,9,3,3,9,8,4,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
90,40,0,530,78,13503,14115,1,0,22,4,1,22,3,2,22,3,11,11,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,51,0,632,71,5441,8423,0,1,22,4,0,11,2,1,10,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
92,30,0,1334,63,5209,19760,1,1,12,3,3,11,4,2,11,8,2,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
93,46,0,638,40,10673,3142,2,1,13,3,1,21,5,2,10,9,9,5,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,32,0,1093,87,5010,24301,1,0,16,3,0,12,0,3,11,8,5,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
95,54,0,1217,60,13549,24001,9,0,12,3,1,16,5,1,4,3,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
96,24,0,1353,33,4999,17519,0,0,21,4,1,4,2,2,3,2,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
97,28,0,120,43,4221,8863,1,0,15,3,0,5,3,4,5,4,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
98,58,0,682,37,13872,24409,0,0,13,3,0,38,1,2,37,10,1,8,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
99,44,0,489,67,2042,25043,4,0,12,3,1,17,3,4,3,2,1,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
100,37,1,807,63,2073,23648,4,1,22,4,0,7,3,3,3,2,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
101,32,0,827,71,2956,15178,1,0,13,3,0,1,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
102,20,1,871,66,2926,19783,1,1,18,3,0,1,5,3,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
103,34,0,665,41,4809,12482,1,0,14,3,0,16,3,3,16,13,2,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
104,37,0,1040,100,5163,15850,5,0,14,3,1,17,2,4,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,59,0,1420,32,18844,21922,9,0,21,4,1,30,3,3,3,2,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
106,50,0,1115,73,18172,9755,3,1,19,3,0,28,1,2,8,3,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
107,25,1,240,46,5744,26959,1,1,11,3,0,6,1,3,6,4,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
108,25,0,1280,64,2889,26897,1,0,11,3,2,2,2,3,2,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
109,22,0,534,59,2871,23785,1,0,15,3,0,1,5,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
110,51,0,1456,30,7484,25796,3,0,20,4,0,23,1,2,13,12,12,8,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,34,1,658,66,6074,22887,1,1,24,4,0,9,3,3,9,7,0,6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
112,54,0,142,30,17328,13871,2,1,12,3,0,23,3,3,5,3,4,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
113,24,0,1127,52,2774,13257,0,0,12,3,1,6,2,3,5,3,1,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
114,34,0,1031,45,4505,15000,6,0,15,3,1,12,3,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
115,37,0,1189,87,7428,14506,2,0,12,3,0,12,3,3,5,3,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
116,34,0,1354,45,11631,5615,2,0,12,3,0,14,6,3,11,10,5,8,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
117,36,0,1467,92,9738,22952,0,0,14,3,1,10,6,3,9,7,2,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
118,36,0,922,39,2835,2561,5,0,22,4,1,7,2,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
119,43,0,394,92,16959,19494,1,1,12,3,2,25,3,4,25,12,4,12,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
120,30,0,1312,96,2613,22310,1,0,25,4,3,10,2,2,10,7,0,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
121,33,0,750,95,6146,15480,0,0,13,3,1,8,2,4,7,7,0,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
122,56,1,441,72,4963,4510,9,1,18,3,3,7,2,3,5,4,4,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
123,51,0,684,51,19537,6462,7,0,13,3,0,23,5,3,20,18,15,15,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
124,31,1,249,76,6172,20739,4,1,18,3,0,12,3,2,7,7,7,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
125,26,0,841,46,2368,23300,1,0,19,3,0,5,3,2,5,4,4,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
126,58,1,147,94,10312,3465,1,0,12,3,1,40,3,2,40,10,15,6,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,19,1,528,50,1675,26820,1,1,19,3,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
128,22,0,594,100,2523,19299,0,0,14,3,1,3,2,3,2,1,2,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
129,49,0,470,96,6567,5549,1,0,14,3,0,16,2,2,15,11,5,11,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
130,43,0,957,72,4739,16090,4,0,12,3,0,18,2,3,3,2,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
131,50,0,809,77,9208,6645,4,0,11,3,0,16,3,3,2,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
132,31,1,542,71,4559,24788,3,1,11,3,1,4,2,3,2,2,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
133,41,0,802,96,8189,21196,3,1,13,3,1,12,2,3,9,7,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
134,26,0,1355,61,2942,8916,1,0,23,4,1,8,3,3,8,7,5,7,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
135,36,0,216,84,4941,2819,6,0,20,4,2,7,0,3,3,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
136,51,1,1150,53,10650,25150,2,0,15,3,0,18,2,3,4,2,0,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
137,39,0,1329,47,5902,14590,4,0,14,3,1,17,1,4,15,11,5,9,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
138,25,0,959,41,8639,24835,2,0,18,3,0,6,3,3,2,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
139,30,0,1240,48,6347,13982,0,1,19,3,0,12,2,1,11,9,4,7,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
140,32,1,1033,41,4200,10224,7,0,22,4,0,10,2,4,5,4,0,4,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
141,45,0,1316,83,3452,9752,5,0,13,3,0,9,2,2,6,5,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
142,38,0,364,32,4317,2302,3,1,20,4,0,19,2,3,3,2,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
143,30,0,438,75,2632,23910,1,0,14,3,0,5,4,2,5,4,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
144,32,0,689,35,4668,22812,0,0,17,3,3,9,2,4,8,7,0,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
145,30,0,201,84,3204,10415,5,0,14,3,1,8,3,3,3,2,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
146,30,0,1427,35,2720,11162,0,0,13,3,0,6,3,3,5,3,1,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
147,41,0,857,91,17181,12888,4,0,13,3,1,21,2,2,7,6,7,7,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
148,41,0,933,94,2238,6961,2,0,21,4,1,7,2,3,5,0,1,4,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
149,19,0,1181,79,1483,16102,1,0,14,3,0,1,3,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
150,40,0,1395,54,5605,8504,1,0,11,3,1,20,2,3,20,7,2,13,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
151,35,0,662,94,7295,11439,1,0,13,3,2,10,3,3,10,8,0,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
